Barrio,abigeato,amenazas,delitos-sexuales,homicidios,hurto-a-entidades-financieras,hurto-comercio,hurto-de-automotores,hurto-de-motocicletas,hurto-personas,lesiones-personales,pirateria-terrestre
LA PASTORA  C-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LA PILARICA C-7,0.0,0.0,2.0,1.0,0.0,16.0,0.0,14.0,62.0,3.0,0.0
LA PIÑUELA  C-4,0.0,0.0,3.0,0.0,0.0,5.0,4.0,9.0,17.0,19.0,0.0
LA PRADERA  S.A.P.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0
LA PRADERA C-13,0.0,0.0,5.0,13.0,0.0,3.0,2.0,15.0,15.0,33.0,0.0
LA PRADERA CNO REPORTADA13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA ROSA  C-2,0.0,0.0,5.0,1.0,0.0,5.0,0.0,6.0,9.0,14.0,0.0
LA SALLE  C-3,0.0,0.0,8.0,0.0,0.0,8.0,0.0,12.0,17.0,48.0,0.0
LA SIERRA C-8,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0
LALINDE C-14,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,33.0,2.0,0.0
LALINDE CNO REPORTADA14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS ACACIAS C-11,0.0,0.0,1.0,2.0,0.0,18.0,4.0,13.0,118.0,7.0,0.0
LAS BIFAS  S.A.P.,0.0,1.0,10.0,0.0,0.0,3.0,0.0,0.0,2.0,9.0,0.0
LAS BRISAS C-5,0.0,0.0,8.0,1.0,0.0,8.0,3.0,24.0,22.0,20.0,0.0
LAS COLES  S.A.P.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
LAS ESMERALDAS  C-4,0.0,0.0,5.0,0.0,0.0,10.0,4.0,7.0,15.0,15.0,0.0
LAS ESTANCIAS C-8,0.0,0.0,5.0,3.0,0.0,6.0,0.0,2.0,9.0,19.0,0.0
LAS FLORES,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LAS GRANJAS  C-3,0.0,0.0,20.0,0.0,0.0,17.0,3.0,22.0,54.0,69.0,0.0
LAS GRANJAS  CNO REPORTADA3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS INDEPENDENCIAS C-13,0.0,0.0,5.0,9.0,0.0,4.0,0.0,6.0,4.0,15.0,0.0
